country,alc,dia,hiv,smk,und
Afghanistan,560.0,3400.0,450.0,3100.0,30000.0
Albania,51.0,15.0,4.0,48.0,34.0
Algeria,380.0,1200.0,280.0,1600.0,1200.0
Andorra,0.0,0.0,0.0,0.0,0.0
Angola,12000.0,4000.0,17000.0,0.0,37000.0
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0
Argentina,1600.0,560.0,720.0,1500.0,1000.0
Armenia,77.0,35.0,28.0,82.0,49.0
Australia,130.0,40.0,38.0,100.0,76.0
Austria,80.0,7.0,8.0,48.0,20.0
Azerbaijan,800.0,380.0,140.0,680.0,370.0
Bahamas,6.0,3.0,10.0,2.0,0.0
Bahrain,7.0,11.0,1.0,16.0,0.0
Bangladesh,6400.0,16000.0,700.0,33000.0,76000.0
Barbados,0.0,0.0,0.0,0.0,0.0
Belarus,750.0,93.0,140.0,310.0,140.0
Belgium,130.0,19.0,34.0,94.0,47.0
Belize,15.0,6.0,16.0,4.0,15.0
Benin,800.0,220.0,660.0,160.0,970.0
Bhutan,57.0,68.0,35.0,0.0,0.0
Bolivia (Plurinational State of),1600.0,460.0,600.0,810.0,3100.0
Bosnia and Herzegovina,94.0,27.0,2.0,130.0,40.0
Botswana,740.0,220.0,3100.0,410.0,2000.0
Brazil,8900.0,4000.0,8700.0,6800.0,8700.0
Brunei Darussalam,12.0,11.0,1.0,20.0,29.0
Bulgaria,140.0,37.0,0.0,180.0,65.0
Burkina Faso,370.0,280.0,770.0,510.0,2800.0
Burundi,1500.0,230.0,1400.0,510.0,0.0
Cabo Verde,22.0,7.0,19.0,7.0,51.0
Cambodia,4400.0,1400.0,4400.0,3500.0,6500.0
Cameroon,5400.0,1300.0,11000.0,1200.0,5600.0
Canada,320.0,55.0,84.0,140.0,110.0
Central African Republic,2100.0,960.0,8800.0,0.0,16000.0
Chad,350.0,730.0,2800.0,800.0,10000.0
Chile,390.0,160.0,300.0,450.0,180.0
China,58000.0,27000.0,15000.0,74000.0,39000.0
"China, Hong Kong SAR",0.0,0.0,0.0,0.0,190.0
"China, Macao SAR",0.0,0.0,0.0,0.0,32.0
Colombia,3200.0,950.0,1600.0,1100.0,3800.0
Comoros,4.0,9.0,0.0,16.0,0.0
Congo,900.0,720.0,6800.0,1400.0,9000.0
Costa Rica,69.0,21.0,31.0,24.0,36.0
Croatia,12.0,3.0,1.0,18.0,5.0
Cuba,95.0,29.0,50.0,66.0,38.0
Cyprus,8.0,1.0,2.0,9.0,5.0
Czechia,42.0,12.0,3.0,51.0,22.0
Côte d'Ivoire,5800.0,1000.0,7500.0,1900.0,3100.0
Democratic People's Republic of Korea,9300.0,3500.0,1800.0,11000.0,64000.0
Democratic Republic of the Congo,28000.0,8100.0,28000.0,13000.0,147000.0
Denmark,28.0,4.0,6.0,17.0,12.0
Djibouti,42.0,90.0,310.0,0.0,620.0
Dominica,0.0,0.0,0.0,0.0,1.0
Dominican Republic,620.0,220.0,580.0,230.0,620.0
Ecuador,1000.0,290.0,410.0,460.0,2100.0
Egypt,290.0,760.0,65.0,980.0,1100.0
El Salvador,370.0,140.0,210.0,130.0,460.0
Equatorial Guinea,570.0,190.0,2000.0,0.0,0.0
Eritrea,97.0,53.0,160.0,55.0,0.0
Estonia,31.0,4.0,16.0,18.0,7.0
Eswatini,500.0,160.0,2300.0,150.0,760.0
Ethiopia,7500.0,3600.0,14000.0,2800.0,55000.0
Fiji,58.0,41.0,25.0,60.0,68.0
Finland,36.0,5.0,3.0,19.0,11.0
France,630.0,130.0,320.0,710.0,240.0
French Polynesia,0.0,0.0,0.0,0.0,5.0
Gabon,1500.0,520.0,3400.0,0.0,3300.0
Gambia,80.0,150.0,620.0,200.0,1300.0
Georgia,200.0,120.0,95.0,310.0,320.0
Germany,510.0,91.0,110.0,410.0,220.0
Ghana,3200.0,1200.0,7500.0,540.0,3700.0
Greece,27.0,7.0,8.0,34.0,11.0
Grenada,0.0,0.0,0.0,0.0,0.0
Guatemala,530.0,190.0,150.0,240.0,1200.0
Guinea,360.0,690.0,3600.0,0.0,0.0
Guinea-Bissau,150.0,220.0,1800.0,290.0,0.0
Guyana,86.0,31.0,100.0,39.0,47.0
Haiti,2200.0,650.0,3400.0,660.0,9100.0
Honduras,400.0,130.0,110.0,0.0,800.0
Hungary,78.0,9.0,5.0,36.0,26.0
Iceland,0.0,0.0,0.0,0.0,0.0
India,248000.0,102000.0,94000.0,106000.0,744000.0
Indonesia,17000.0,34000.0,40000.0,141000.0,133000.0
Iran (Islamic Republic of),220.0,540.0,100.0,500.0,830.0
Iraq,81.0,700.0,17.0,830.0,2600.0
Ireland,35.0,6.0,8.0,23.0,11.0
Israel,24.0,6.0,5.0,21.0,12.0
Italy,77.0,73.0,150.0,300.0,140.0
Jamaica,9.0,4.0,14.0,4.0,11.0
Japan,870.0,380.0,73.0,1200.0,770.0
Jordan,3.0,29.0,0.0,62.0,110.0
Kazakhstan,1700.0,790.0,600.0,1500.0,780.0
Kenya,9400.0,3200.0,41000.0,5300.0,48000.0
Kiribati,51.0,47.0,0.0,87.0,47.0
Kuwait,4.0,44.0,2.0,46.0,28.0
Kyrgyzstan,920.0,380.0,270.0,1000.0,900.0
Lao People's Democratic Republic,1000.0,360.0,450.0,1200.0,1000.0
Latvia,89.0,11.0,30.0,56.0,18.0
Lebanon,86.0,32.0,5.0,82.0,110.0
Lesotho,1400.0,550.0,7500.0,1300.0,6600.0
Liberia,1500.0,510.0,1800.0,510.0,7500.0
Libya,25.0,270.0,90.0,0.0,0.0
Lithuania,160.0,30.0,25.0,110.0,43.0
Luxembourg,6.0,1.0,2.0,5.0,2.0
Madagascar,3400.0,1600.0,3100.0,4900.0,36000.0
Malawi,1700.0,680.0,12000.0,1100.0,7200.0
Malaysia,2300.0,1900.0,1800.0,3800.0,2000.0
Maldives,9.0,9.0,0.0,22.0,0.0
Mali,190.0,360.0,1000.0,380.0,2000.0
Malta,5.0,2.0,0.0,8.0,3.0
Marshall Islands,0.0,14.0,0.0,18.0,0.0
Mauritania,30.0,140.0,120.0,150.0,670.0
Mauritius,17.0,9.0,24.0,15.0,23.0
Mexico,1700.0,1800.0,2000.0,2300.0,4300.0
Micronesia (Federated States of),5.0,4.0,0.0,0.0,0.0
Mongolia,2200.0,780.0,0.0,1800.0,1100.0
Montenegro,10.0,3.0,1.0,13.0,4.0
Morocco,280.0,2000.0,390.0,2000.0,3800.0
Mozambique,7000.0,3100.0,67000.0,7000.0,50000.0
Myanmar,9000.0,7600.0,24000.0,22000.0,16000.0
Namibia,1300.0,350.0,6900.0,690.0,3300.0
Nauru,2.0,2.0,0.0,3.0,0.0
Nepal,2600.0,3200.0,1300.0,5700.0,7500.0
Netherlands (Kingdom of the),23.0,14.0,23.0,76.0,37.0
New Caledonia,0.0,0.0,0.0,0.0,4.0
New Zealand,24.0,9.0,5.0,20.0,16.0
Nicaragua,360.0,130.0,97.0,0.0,860.0
Niger,290.0,500.0,500.0,630.0,0.0
Nigeria,5800.0,13000.0,62000.0,6800.0,105000.0
North Macedonia,25.0,7.0,1.0,0.0,15.0
Norway,24.0,4.0,3.0,14.0,9.0
Oman,3.0,26.0,5.0,16.0,75.0
Pakistan,4900.0,31000.0,14000.0,38000.0,165000.0
Palau,0.0,0.0,0.0,0.0,0.0
Panama,250.0,82.0,270.0,51.0,230.0
Papua New Guinea,3800.0,2400.0,5300.0,6200.0,14000.0
Paraguay,410.0,120.0,180.0,180.0,500.0
Peru,8100.0,1800.0,3000.0,2100.0,8000.0
Philippines,72000.0,23000.0,20000.0,75000.0,76000.0
Poland,1000.0,170.0,64.0,540.0,240.0
Portugal,210.0,51.0,150.0,190.0,84.0
Qatar,6.0,85.0,6.0,54.0,0.0
Republic of Korea,4900.0,780.0,210.0,2100.0,1100.0
Republic of Moldova,280.0,91.0,210.0,290.0,0.0
Romania,590.0,320.0,250.0,1300.0,530.0
Russian Federation,21000.0,2400.0,9000.0,8400.0,2900.0
Rwanda,950.0,150.0,1900.0,410.0,3400.0
Saint Kitts and Nevis,0.0,0.0,0.0,0.0,0.0
Saint Lucia,0.0,0.0,0.0,0.0,0.0
Saint Vincent and the Grenadines,1.0,0.0,0.0,0.0,1.0
Samoa,1.0,1.0,0.0,1.0,0.0
Sao Tome and Principe,30.0,9.0,22.0,6.0,58.0
Saudi Arabia,20.0,230.0,20.0,190.0,220.0
Senegal,290.0,640.0,880.0,600.0,2700.0
Serbia,110.0,30.0,10.0,160.0,70.0
Seychelles,2.0,0.0,0.0,1.0,0.0
Sierra Leone,1700.0,740.0,3600.0,1500.0,9300.0
Singapore,76.0,120.0,100.0,260.0,0.0
Slovakia,17.0,2.0,1.0,11.0,12.0
Slovenia,19.0,2.0,0.0,8.0,4.0
Solomon Islands,41.0,24.0,0.0,64.0,120.0
Somalia,310.0,1100.0,420.0,0.0,23000.0
South Africa,35000.0,14000.0,142000.0,26000.0,37000.0
Spain,100.0,110.0,230.0,420.0,170.0
Sri Lanka,860.0,460.0,50.0,840.0,950.0
Sudan,640.0,930.0,430.0,0.0,5600.0
Suriname,23.0,10.0,32.0,0.0,27.0
Sweden,77.0,9.0,8.0,31.0,21.0
Switzerland,67.0,7.0,18.0,47.0,20.0
Syrian Arab Republic,45.0,220.0,2.0,0.0,0.0
Tajikistan,150.0,350.0,230.0,0.0,0.0
Thailand,12000.0,4300.0,15000.0,10000.0,18000.0
Timor-Leste,230.0,150.0,140.0,880.0,2400.0
Togo,490.0,93.0,530.0,81.0,820.0
Tonga,0.0,0.0,0.0,0.0,0.0
Trinidad and Tobago,36.0,15.0,42.0,0.0,39.0
Tunisia,55.0,240.0,51.0,430.0,290.0
Turkmenistan,350.0,170.0,680.0,89.0,220.0
Tuvalu,3.0,3.0,0.0,5.0,0.0
Türkiye,1100.0,700.0,110.0,1600.0,610.0
Uganda,11000.0,1800.0,34000.0,3000.0,0.0
Ukraine,3100.0,910.0,3200.0,3300.0,2100.0
United Arab Emirates,1.0,4.0,0.0,0.0,7.0
United Kingdom of Great Britain and Northern Ireland,820.0,140.0,190.0,400.0,270.0
United Republic of Tanzania,13000.0,2800.0,42000.0,4000.0,43000.0
United States of America,2000.0,300.0,700.0,820.0,460.0
Uruguay,160.0,55.0,120.0,130.0,67.0
Uzbekistan,3000.0,1200.0,1300.0,1400.0,1500.0
Vanuatu,9.0,6.0,0.0,7.0,20.0
Venezuela (Bolivarian Republic of),1700.0,560.0,940.0,0.0,4400.0
Viet Nam,18000.0,4300.0,8300.0,19000.0,19000.0
Yemen,130.0,750.0,90.0,1200.0,7700.0
Zambia,5600.0,1600.0,33000.0,3400.0,0.0
Zimbabwe,3700.0,990.0,20000.0,1700.0,0.0
